age,grade_level,book_read,book_added,score,child_number,total_session_time_in_minutes,story_read_time_in_min,qa_accuracy,story_qa_accuracy,freadom_point,commitment_taken,completed_activities,completed_packs,completed_pack_activities,bookmarked_story,news_fread_completed,total_questions,activity_qa_accuracy,news_fread_qa_accuracy,reading_qa_accuracy,freadom_points_earned,num_parental_commitment,num_interests,W_reading_time,W_wordcount,W_utility,Y_next_view_lag,Y_utility
7.0,5.0,0.0,0.0,0.0,1.0,105.15,37.96666667,88.46,88.0,7050.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,100.0,0.0,0.0,7050.0,0.0,0.0,7.5,5.0,2.0,13.0,2.0
6.467784180199058,5.0,0.0,0.0,0.0,1.0,166.0666667,101.5333333,0.0,0.0,11100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10100.0,0.0,0.0,10.0,674.8333333333334,0.0,3.1666666666666665,0.0
6.467784180199057,4.0,0.0,0.0,0.0,1.0,23.71666667,5.516666667000001,27.27,0.0,2450.0,0.0,11.0,0.0,0.0,0.0,0.0,55.0,27.27,0.0,0.0,2950.0,0.0,0.0,7.5,212.0,2.0,1.0,2.0
7.0,2.0,0.0,0.0,0.0,2.0,442.1499999999998,40.266666669999985,36.820000000000014,66.67,20990.0,0.0,44.0,0.0,0.0,2.0,3.0,201.0,37.64999999999999,0.0,30.0,21700.0,0.0,0.0,6.7368421052631575,148.97662415015617,0.10526315789473684,1.7894736842105263,0.10526315789473684
6.467784180199057,3.0,0.0,0.0,0.0,1.0,19.98333333,10.41666667,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,5.5,30.5,1.0,4.5,1.0
10.0,7.0,0.0,0.0,0.0,1.0,38.93333333,14.81666667,91.23,100.0,8300.0,0.0,9.0,1.0,6.0,2.0,0.0,57.0,89.13,0.0,0.0,8900.0,0.0,0.0,7.5,222.0,0.0,1.0,0.0
6.467784180199059,4.0,0.0,0.0,9.0,1.0,132.78333329999995,11.950000000000001,29.17000000000001,33.32999999999999,3250.0,1.0,3.0,0.0,0.0,1.0,0.0,24.0,26.67000000000001,0.0,0.0,3250.0,3.0,0.0,8.0,368.0,0.5,2.2,0.5
6.467784180199058,6.0,0.0,0.0,0.0,1.0,779.4499999999999,129.38333329999998,68.42,71.21,22300.0,0.0,1.0,0.0,0.0,4.0,0.0,76.0,50.0,0.0,0.0,22500.0,0.0,0.0,7.5,649.0,1.0,3.8333333333333335,1.0
6.0,4.0,0.0,0.0,0.0,1.0,6609.716667000001,691.0,69.72,65.75,44990.0,1.0,3.0,0.0,1.0,3.0,33.0,284.0,78.57,90.91,0.0,42200.0,3.0,1.0,7.5,308.5,0.0,5.0,0.0
7.0,6.0,0.0,0.0,0.0,1.0,11152.15,20.7,71.17,37.5,14150.0,1.0,24.0,0.0,0.0,1.0,0.0,163.0,69.6,100.0,88.0,13000.0,3.0,0.0,7.5,416.0,0.0,3.0,0.0
8.0,6.0,2.0,2.0,10.0,1.0,24041.86667000001,1789.25,86.61,88.05000000000003,445190.0,1.0,134.0,20.0,12.0,316.0,330.0,1583.0,84.01000000000005,89.09000000000002,89.28999999999998,449050.0,3.0,9.0,7.96875,559.3021117674657,1.09375,1.125,1.09375
9.0,6.0,6.0,6.0,9.0,1.0,2439.5,112.04999999999997,58.63,42.29,102640.0,0.0,133.0,9.0,12.0,0.0,9.0,1083.0,67.93000000000004,44.44000000000001,52.0,103650.0,0.0,7.0,8.125,578.3372024748755,0.1875,2.125,0.1875
6.467784180199059,7.0,0.0,0.0,0.0,1.0,165.70000000000002,48.866666669999994,59.519999999999996,72.40999999999998,29140.0,0.0,48.0,5.0,25.0,0.0,0.0,294.0,57.2,0.0,73.33000000000001,28600.0,0.0,0.0,7.5,535.2111717705934,0.3,1.5,0.3
9.0,6.0,1.0,0.0,9.0,1.0,5689.983332999998,436.1166666999998,58.76,61.96000000000001,173590.0,1.0,133.0,20.0,12.0,2.0,216.0,1193.0,52.04999999999998,73.60999999999999,69.09000000000002,174800.0,3.0,0.0,7.794117647058823,432.5882352941176,1.588235294117647,2.1176470588235294,1.588235294117647
7.0,4.0,2.0,3.0,10.0,1.0,3759.1333329999993,690.25,84.68000000000004,87.86999999999996,258190.0,1.0,134.0,17.0,12.0,2.0,105.0,1410.0,81.94000000000003,83.80999999999997,83.32999999999998,266400.0,1.0,3.0,7.5,332.7777929426484,1.45,1.6,1.45
6.467784180199057,2.0,0.0,0.0,8.0,2.0,62.03333333,21.35,100.0,100.0,6150.0,0.0,1.0,0.0,0.0,4.0,0.0,27.0,100.0,0.0,0.0,6250.0,0.0,0.0,6.5,195.75,1.5,4.5,1.5
6.467784180199057,4.0,0.0,0.0,0.0,1.0,72.73333333,28.28333333,73.91,73.91,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,7600.0,0.0,0.0,7.5,351.5,1.5,1.0,1.5
3.0,1.0,0.0,0.0,5.0,1.0,29.0,13.53333333,100.0,0.0,3200.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0,100.0,3200.0,0.0,0.0,3.5,181.0,2.0,1.0,2.0
